id,group_id,group_is_high_risk,group_size,group_black_ratio,group_grey_ratio,group_risk_mean,group_risk_max,acct_id,acct_label_raw,acct_risk_level,acct_risk_level_name,acct_risk_score,acct_is_black,acct_is_grey,acct_is_core,role,txn_out_cnt,txn_in_cnt,txn_out_sum,txn_in_sum,txn_net_out_amt,txn_out_in_ratio,graph_pr,graph_in_deg,graph_out_deg,graph_weighted_out_deg
37825,2062,False,2.0,0.0,0.0,0.0973083154975997,0.1643284311798739,cc71f73321a646da8f65e3140acfc6513069c036323b8c986c0c7561bd860f12,无关,0,safe,0.0302881998153254,False,False,False,normal,1.0,0.0,1700.0,0.0,1700.0,1701.0,5.4525316681734015e-05,0,1,3400.0
37827,496,False,3.0,0.0,0.0,0.3076491975869626,0.350330810345876,245652161704ff0cac1cc29e3de5f08c38da01f0724ec9f669292969f91395b4,无关,0,safe,0.254587816289085,False,False,False,normal,23.0,4.0,126382.52,43522.5,82860.02,2.903799556561398,0.0004948835085203,1,1,5000.0
37832,37,False,2.0,0.0,0.0,0.3270874491146832,0.3902889871704914,0260c534126de85bf6cfd7b0e995a1e0fa65c74370c9b6d259cc84888fa92a56,无关,0,safe,0.263885911058875,False,False,False,normal,32.0,0.0,68100.0,0.0,68100.0,68101.0,5.4525316681734015e-05,0,1,135800.0
37842,1462,False,2.0,0.0,0.0,0.1618177673829535,0.1769733319175942,7f3f425021cce6c3695cebbc8479f62970fdd91939f795397c501e74358ce739,无关,0,safe,0.1466622028483128,False,False,False,normal,356.0,3.0,49299.88,441.2,48858.68,111.49000452284034,5.4525316681734015e-05,0,1,5000.0
37846,891,False,2.0,0.0,0.0,0.1907594101644825,0.2590318917648045,44b7a5e4d16a8b25d51b26ba45a13b8b327c09313d848f87177687158431806d,无关,0,safe,0.1224869285641605,False,False,False,normal,2.0,0.0,7813.32,0.0,7813.32,7814.32,5.4525316681734015e-05,0,1,15626.64
37854,1094,False,4.0,0.0,0.0,0.3743469239305278,0.5008400509049823,5724461ead3fc3370eaeb38885d6748b5bc5e3b9ac140e653c6ca96aea8002b9,无关,0,safe,0.3327519035740059,False,False,False,normal,48.0,22.0,68552.0,44531.0,24021.0,1.5394098625707358,0.0005042583343434,2,1,112000.0
37864,2337,False,2.0,0.0,0.0,0.2511808983005074,0.3591522023317338,55db4dcd73a20dd8594095e66a7d2bc550adef39300305a9f3790f4713d76faf,无关,0,safe,0.3591522023317338,False,False,False,normal,0.0,1.0,0.0,0.01,-0.01,0.99009900990099,0.0001009390148071,1,0,0.0
37882,622,False,2.0,0.0,0.0,0.1827885501252644,0.2752100674576281,2b09d52d270a9bfeb16e1724335a36bd27d6bc9dfdaa7c4f8f0d6d201df436a7,无关,0,safe,0.0903670327929008,False,False,False,normal,0.0,1.0,0.0,28440.0,-28440.0,3.5160507717731446e-05,0.0001009390148071,1,0,0.0
37886,1152,False,3.0,0.0,0.0,0.4279109785091918,0.5740235130981926,5d4ddcc9d1425d3724eb4d8d2b79344632bf6e756311a1d14ef297a22e9440d6,无关,0,safe,0.1419264340762584,False,False,False,normal,15.0,0.0,3800.0,0.0,3800.0,3801.0,5.4525316681734015e-05,0,2,7600.0
37891,2351,False,2.0,0.0,0.0,0.1162868432816437,0.1174264603178197,fb04f2f76700e6a42b12e72af0c01ef94331417c4ec575d93d84ee7c246d66d5,无关,0,safe,0.1151472262454676,False,False,False,normal,1.0,0.0,16100.0,0.0,16100.0,16101.0,5.4525316681734015e-05,0,1,32200.0
37895,344,False,2.0,0.0,0.0,0.2403266237888406,0.2770101899458299,34dbafcc2fe36991f92a358c2931e19bdea0165f81f6d737c560e15098e66e81,无关,0,safe,0.2036430576318514,False,False,False,normal,759.0,35.0,193037.15,16097.26,176939.88999999998,11.99124315298672,0.000360446027931,1,1,780.0
37903,531,True,26.0,0.4230769230769231,0.3076923076923077,0.6081521869893673,0.9168608127849436,0a2c2d732910c0a7e9386b67fd02bb5424baabb3f970e8d4449e9acd9acbfa3c,无关,0,safe,0.427004317320042,False,False,False,normal,122.0,36.0,7651.19,29072.32,-21421.13,0.2632031704669436,5.7263057304095385e-05,1,0,0.0
37904,1776,False,1.0,0.0,0.0,0.2500913913184375,0.2500913913184375,a5a4e6d10c69e416f1ab8605f26b644acf4a56cf7be5bf1283a6d0b985a9474a,无关,0,safe,0.2500913913184375,False,False,False,normal,49.0,14.0,175393.53,178297.4,-2903.869999999996,0.9837134264805516,0.000360446027931,1,1,60.0
37906,533,False,26.0,0.0,0.5384615384615384,0.4775645866918223,0.6073115475638023,465da2f7068bc88d596aa8a24736f948a76f4f5ed5844109b016281ef300dc4e,无关,0,safe,0.3811341379908434,False,False,False,normal,25.0,16.0,37760.0,3980.21,33779.79,9.484804870880962,5.727369705617082e-05,1,1,13270.0
